﻿ID;Date;Heure;Instrument;Sens;Session;Setup;Entrée;Stop;Objectif;Sortie;Taille (lots);Risque;P&L brut;Frais;P&L net;R;Respect du plan;Émotion;Erreur;Durée (min);Notes;Capture
Tmu268dpp8d99l;2026-06-26;03:15;US30;Short;Asie;ODF (entrée ratée);38853,40000;38867,00000;38757,70000;38829,90000;0,74;100,00;173,00;4,34;168,66;1,69;oui;Calme;Aucune;211;Setup validé, exécution conforme au plan.;
Tmu268dppw50v1;2026-07-01;10:45;GBPUSD;Short;Europe;Market Shift (ChoCh);1,25617;1,25716;1,24746;1,25742;1,01;100,00;-126,00;7,93;-133,93;-1,34;oui;Confiant;Aucune;232;Setup validé, exécution conforme au plan.;
Tmu268dppuj2cj;2026-07-02;09:55;GBPUSD;Long;Europe;Golden Setup (Phase C);1,25605;1,25468;1,27045;1,25490;0,73;100,00;-84,00;7,87;-91,87;-0,92;oui;Calme;Aucune;113;Setup validé, exécution conforme au plan.;
Tmu268dpp2e9p4;2026-07-02;09:20;XAUUSD;Long;Europe;Golden Setup (Phase C);2315,96662;2315,13942;2324,74272;2317,63757;1,21;100,00;202,00;5,71;196,29;1,96;oui;Calme;Aucune;164;Setup validé, exécution conforme au plan.;
Tmu268dpp8jftz;2026-07-03;15:45;USDJPY;Short;USA;Golden Setup (Phase C);147,20000;147,34181;145,65752;146,83696;0,71;100,00;256,00;5,59;250,41;2,50;oui;Confiant;Aucune;63;Setup validé, exécution conforme au plan.;
Tmu268dppgimf8;2026-07-08;01:05;NAS100;Short;Asie;Golden Setup (Phase C);18364,90000;18379,00000;18248,00000;18323,60000;0,71;100,00;293,00;2,72;290,28;2,90;oui;Calme;Aucune;43;Setup validé, exécution conforme au plan.;
Tmu268dpppo1c3;2026-07-10;13:10;EURUSD;Long;USA;Golden Setup (Phase C);1,08783;1,08655;1,09767;1,09089;0,78;100,00;239,00;5,97;233,03;2,33;oui;Calme;Aucune;64;Setup validé, exécution conforme au plan.;
Tmu268dppvnazd;2026-07-10;08:40;XAUUSD;Long;Europe;ODF (entrée ratée);2305,29053;2304,39832;2315,84502;2307,66381;1,12;100,00;266,00;7,09;258,91;2,59;oui;Confiant;Aucune;86;Setup validé, exécution conforme au plan.;
Tmu268dppqbgvb;2026-07-10;08:15;US30;Long;Europe;Golden Setup (Phase C);38672,50000;38661,00000;38800,20000;38688,50000;0,87;100,00;139,00;4,69;134,31;1,34;oui;Confiant;Sortie trop tôt;92;Setup validé, exécution conforme au plan.;
Tmu268dppnnzvz;2026-07-13;14:10;GBPUSD;Short;USA;Golden Setup (Phase C);1,25732;1,25851;1,24617;1,25885;0,84;100,00;-129,00;5,82;-134,82;-1,35;oui;Confiant;Aucune;184;Setup validé, exécution conforme au plan.;
Tmu268dppk2a9p;2026-07-16;15:55;XAUUSD;Short;USA;ODF (entrée ratée);2312,69595;2314,11117;2297,53218;2313,92719;0,71;100,00;-87,00;3,17;-90,17;-0,90;oui;Calme;Aucune;115;Setup validé, exécution conforme au plan.;
Tmu268dppv809d;2026-07-16;08:20;GBPUSD;Short;Europe;Complexe Pull Back;1,25902;1,25985;1,25032;1,25953;1,20;100,00;-62,00;3,77;-65,77;-0,66;oui;Calme;Aucune;211;Setup validé, exécution conforme au plan.;
Tmu268dppmbe83;2026-07-17;15:55;XAUUSD;Long;USA;Golden Setup (Phase C);2309,38160;2308,67048;2315,05078;2311,74963;1,41;100,00;333,00;4,42;328,58;3,29;oui;Calme;Aucune;139;Setup validé, exécution conforme au plan.;
Tmu268dppyry1c;2026-07-17;15:50;NAS100;Short;USA;Market Shift (ChoCh);18395,80000;18402,90000;18345,20000;18386,00000;1,41;100,00;139,00;6,81;132,19;1,32;oui;Confiant;Aucune;78;Setup validé, exécution conforme au plan.;
Tmu268dppehmwa;2026-07-17;15:00;XAUUSD;Short;USA;Complexe Pull Back;2310,13546;2311,09709;2300,85864;2309,24115;1,04;100,00;93,00;4,67;88,33;0,88;oui;Calme;Aucune;91;Setup validé, exécution conforme au plan.;
Tmu268dpp5i97j;2026-07-20;08:05;USDJPY;Short;Europe;Complexe Pull Back;146,71128;146,80820;146,19930;146,76556;1,03;100,00;-56,00;4,24;-60,24;-0,60;partiel;Confiant;Aucune;113;Exécution approximative — à revoir en revue de semaine.;
Tmu268dppjuyt8;2026-07-20;10:40;USDJPY;Long;Europe;Complexe Pull Back;146,06055;145,91172;147,26829;145,89237;0,67;100,00;-113,00;7,85;-120,85;-1,21;oui;Calme;Aucune;131;Setup validé, exécution conforme au plan.;
Tmu268dppylzus;2026-07-24;08:45;EURUSD;Short;Europe;Market Shift (ChoCh);1,09008;1,09157;1,07453;1,08626;0,67;100,00;256,00;3,61;252,39;2,52;oui;Confiant;Aucune;84;Setup validé, exécution conforme au plan.;
Tmu268dpp8dmrr;2026-07-24;08:35;GBPUSD;Long;Europe;Market Shift (ChoCh);1,25890;1,25806;1,26620;1,26142;1,19;100,00;302,00;4,71;297,29;2,97;oui;Confiant;Aucune;112;Setup validé, exécution conforme au plan.;
Tmu268dppina7o;2026-07-24;09:20;NAS100;Long;Europe;Market Shift (ChoCh);18334,40000;18324,20000;18450,10000;18351,00000;0,98;100,00;163,00;4,25;158,75;1,59;oui;Calme;Aucune;79;Setup validé, exécution conforme au plan.;
Tmu268dppanjf7;2026-07-29;03:50;GBPUSD;Short;Asie;Market Shift (ChoCh);1,26359;1,26432;1,25796;1,26208;1,37;100,00;207,00;2,52;204,48;2,04;oui;Calme;Aucune;126;Setup validé, exécution conforme au plan.;
Tmu268dpppw9ke;2026-07-29;10:45;USDJPY;Short;Europe;Market Shift (ChoCh);145,74051;145,82675;145,03967;145,49903;1,16;100,00;280,00;4,19;275,81;2,76;oui;Calme;Aucune;50;Setup validé, exécution conforme au plan.;
Tmu268dpp9vkrh;2026-07-31;10:50;US30;Short;Europe;Market Shift (ChoCh);38791,20000;38803,40000;38754,30000;38801,70000;0,82;100,00;-86,00;4,01;-90,01;-0,90;partiel;FOMO;Aucune;169;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp2hc46;2026-08-03;01:25;GBPUSD;Long;Asie;Golden Setup (Phase C);1,26367;1,26251;1,27325;1,26234;0,86;100,00;-115,00;3,86;-118,86;-1,19;oui;Confiant;Aucune;57;Setup validé, exécution conforme au plan.;
Tmu268dppxflsw;2026-08-03;02:30;NAS100;Long;Asie;ODF (entrée ratée);18390,60000;18379,60000;18469,80000;18415,20000;0,91;100,00;224,00;3,99;220,01;2,20;oui;Calme;Sortie trop tôt;187;Setup validé, exécution conforme au plan.;
Tmu268dppair4d;2026-08-03;14:55;GBPUSD;Long;USA;Market Shift (ChoCh);1,26805;1,26709;1,27012;1,26695;1,04;100,00;-115,00;4,26;-119,26;-1,19;non;Calme;Aucune;215;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp66lgv;2026-08-06;09:05;EURUSD;Short;Europe;ODF (entrée ratée);1,09183;1,09297;1,08064;1,09014;0,88;100,00;148,00;5,00;143,00;1,43;oui;Calme;Sortie trop tôt;209;Setup validé, exécution conforme au plan.;
Tmu268dppakari;2026-08-07;03:55;NAS100;Short;Asie;Market Shift (ChoCh);18473,10000;18487,70000;18403,00000;18489,60000;0,68;100,00;-113,00;7,40;-120,40;-1,20;partiel;Peur;Aucune;107;Exécution approximative — à revoir en revue de semaine.;
Tmu268dppmmejd;2026-08-07;09:20;NAS100;Long;Europe;Golden Setup (Phase C);18553,50000;18546,40000;18634,20000;18545,50000;1,41;100,00;-113,00;6,05;-119,05;-1,19;oui;Calme;Aucune;61;Setup validé, exécution conforme au plan.;
Tmu268dppg7vts;2026-08-07;08:40;EURUSD;Short;Europe;Complexe Pull Back;1,09616;1,09717;1,09249;1,09528;0,99;100,00;87,00;3,26;83,74;0,84;partiel;Confiant;Aucune;62;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp2wjjr;2026-08-10;01:10;USDJPY;Short;Asie;Golden Setup (Phase C);146,36593;146,45859;146,22613;146,41782;1,08;100,00;-56,00;4,55;-60,55;-0,61;non;Peur;Ratio < 1:7;58;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp135si;2026-08-10;08:55;XAUUSD;Short;Europe;Complexe Pull Back;2308,91775;2309,86150;2300,84684;2309,80488;1,06;100,00;-94,00;6,24;-100,24;-1,00;oui;Calme;Aucune;45;Setup validé, exécution conforme au plan.;
Tmu268dpp0sjdj;2026-08-10;09:45;US30;Short;Europe;ODF (entrée ratée);38718,70000;38729,00000;38601,10000;38732,00000;0,97;100,00;-129,00;6,80;-135,80;-1,36;oui;Confiant;Aucune;34;Setup validé, exécution conforme au plan.;
Tmu268dpprdcn2;2026-08-11;08:40;EURUSD;Long;Europe;Complexe Pull Back;1,09720;1,09583;1,10086;1,09818;0,73;100,00;71,00;4,64;66,36;0,66;non;Calme;Prises partielles non respectées;170;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp5eo4x;2026-08-11;10:40;EURUSD;Long;Europe;Complexe Pull Back;1,09756;1,09661;1,10667;1,09662;1,05;100,00;-99,00;7,37;-106,37;-1,06;oui;Calme;Aucune;35;Setup validé, exécution conforme au plan.;
Tmu268dpp50vax;2026-08-11;13:50;GBPUSD;Long;USA;Complexe Pull Back;1,26962;1,26827;1,27186;1,26850;0,74;100,00;-83,00;7,93;-90,93;-0,91;non;Calme;Revenge trading;183;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp1y3ig;2026-08-12;01:00;US30;Long;Asie;ODF (entrée ratée);38815,50000;38804,10000;38848,10000;38803,70000;0,88;100,00;-104,00;6,85;-110,85;-1,11;non;FOMO;Entrée hors fenêtre de tir;101;Exécution approximative — à revoir en revue de semaine.;
Tmu268dppfhdbk;2026-08-13;09:25;US30;Long;Europe;Golden Setup (Phase C);38818,50000;38806,60000;38921,30000;38835,00000;0,84;100,00;138,00;2,63;135,37;1,35;oui;Calme;Aucune;42;Setup validé, exécution conforme au plan.;
Tmu268dppdwwrs;2026-08-14;13:40;XAUUSD;Long;USA;Golden Setup (Phase C);2310,90504;2309,53471;2313,24671;2311,50799;0,73;100,00;44,00;5,05;38,95;0,39;non;Impatient;Prises partielles non respectées;54;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpptq23w;2026-08-14;02:45;US30;Short;Asie;Complexe Pull Back;38822,10000;38835,50000;38682,80000;38800,50000;0,75;100,00;161,00;3,26;157,74;1,58;oui;Calme;Aucune;202;Setup validé, exécution conforme au plan.;
Tmu268dpp2j3pw;2026-08-14;13:05;USDJPY;Long;USA;ODF (entrée ratée);146,91850;146,84192;147,26583;147,11836;1,31;100,00;261,00;2,64;258,36;2,58;partiel;Impatient;Entrée hors zone (OB/POI);116;Exécution approximative — à revoir en revue de semaine.;
Tmu268dppp7ap3;2026-08-17;02:35;US30;Short;Asie;Complexe Pull Back;38782,20000;38795,20000;38671,70000;38792,20000;0,77;100,00;-77,00;3,44;-80,44;-0,80;oui;Confiant;Aucune;52;Setup validé, exécution conforme au plan.;
Tmu268dpp6vdji;2026-08-17;15:35;NAS100;Short;USA;Market Shift (ChoCh);18543,00000;18556,40000;18411,00000;18503,70000;0,75;100,00;293,00;4,28;288,72;2,89;oui;Confiant;Sortie trop tôt;201;Setup validé, exécution conforme au plan.;
Tmu268dppcp9h5;2026-08-17;08:20;US30;Long;Europe;Complexe Pull Back;38857,20000;38844,90000;38954,30000;38896,90000;0,81;100,00;322,00;6,73;315,27;3,15;oui;Calme;Aucune;138;Setup validé, exécution conforme au plan.;
Tmu268dpp2cu7i;2026-08-19;14:30;US30;Long;USA;ODF (entrée ratée);38693,20000;38683,50000;38741,60000;38715,50000;1,03;100,00;230,00;2,29;227,71;2,28;partiel;Calme;Revenge trading;195;Exécution approximative — à revoir en revue de semaine.;
Tmu268dppacvr1;2026-08-19;15:15;EURUSD;Short;USA;ODF (entrée ratée);1,10239;1,10345;1,09874;1,10353;0,94;100,00;-107,00;6,03;-113,03;-1,13;partiel;Fatigué;Aucune;164;Exécution approximative — à revoir en revue de semaine.;
Tmu268dppdnri9;2026-08-19;14:20;USDJPY;Short;USA;Market Shift (ChoCh);146,43410;146,54593;146,14538;146,55711;0,89;100,00;-110,00;6,59;-116,59;-1,17;non;FOMO;Ratio < 1:7;154;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp2a46o;2026-08-20;10:25;GBPUSD;Short;Europe;Market Shift (ChoCh);1,26528;1,26638;1,26012;1,26387;0,91;100,00;128,00;7,18;120,82;1,21;partiel;Calme;Entrée hors fenêtre de tir;205;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp4ra18;2026-08-21;02:10;XAUUSD;Short;Asie;Complexe Pull Back;2320,17544;2321,28237;2312,30169;2318,58146;0,90;100,00;144,00;2,60;141,40;1,41;oui;Confiant;Aucune;110;Setup validé, exécution conforme au plan.;
Tmu268dppuy1fd;2026-08-21;13:10;XAUUSD;Long;USA;ODF (entrée ratée);2324,84632;2324,08870;2326,62502;2326,30096;1,32;100,00;192,00;3,17;188,83;1,89;non;FOMO;Aucune;171;Exécution approximative — à revoir en revue de semaine.;
Tmu268dppc0bgs;2026-08-24;09:10;USDJPY;Long;Europe;ODF (entrée ratée);147,15290;147,08089;147,33905;147,25083;1,39;100,00;136,00;2,54;133,46;1,33;non;Calme;Aucune;235;Exécution approximative — à revoir en revue de semaine.;
Tmu268dppvg98b;2026-08-25;13:25;GBPUSD;Short;USA;Complexe Pull Back;1,26946;1,27059;1,26433;1,26738;0,88;100,00;184,00;5,06;178,94;1,79;partiel;Calme;Aucune;198;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp2yizf;2026-08-26;01:50;USDJPY;Long;Asie;Golden Setup (Phase C);146,81990;146,71357;147,65858;146,73909;0,94;100,00;-76,00;3,81;-79,81;-0,80;oui;Calme;Aucune;158;Setup validé, exécution conforme au plan.;
Tmu268dppkw4kv;2026-08-27;02:30;XAUUSD;Long;Asie;Market Shift (ChoCh);2334,25276;2333,27290;2342,43486;2335,55597;1,02;100,00;133,00;3,58;129,42;1,29;oui;Calme;Aucune;131;Setup validé, exécution conforme au plan.;
Tmu268dppni7hr;2026-08-28;15:00;XAUUSD;Short;USA;ODF (entrée ratée);2340,70214;2342,12247;2329,54864;2338,98354;0,70;100,00;121,00;5,44;115,56;1,16;oui;Calme;Aucune;121;Setup validé, exécution conforme au plan.;
Tmu268dppzdccm;2026-09-02;03:20;GBPUSD;Long;Asie;Golden Setup (Phase C);1,27362;1,27246;1,28320;1,27225;0,86;100,00;-118,00;2,96;-120,96;-1,21;oui;Calme;Aucune;99;Setup validé, exécution conforme au plan.;
Tmu268dpporgpg;2026-09-02;13:45;NAS100;Long;USA;Market Shift (ChoCh);18613,20000;18601,00000;18683,90000;18604,60000;0,82;100,00;-71,00;4,16;-75,16;-0,75;partiel;Impatient;Revenge trading;168;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp69ozl;2026-09-04;02:10;US30;Short;Asie;Market Shift (ChoCh);38520,80000;38532,70000;38467,30000;38535,90000;0,84;100,00;-127,00;4,50;-131,50;-1,31;partiel;Peur;Pas de ChoCh;150;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp279j6;2026-09-04;01:10;GBPUSD;Long;Asie;Golden Setup (Phase C);1,26781;1,26682;1,26987;1,26695;1,01;100,00;-87,00;5,35;-92,35;-0,92;non;Fatigué;Entrée hors fenêtre de tir;112;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpp872uc;2026-09-04;09:45;XAUUSD;Long;Europe;Market Shift (ChoCh);2334,49203;2333,68884;2340,18698;2334,04224;1,25;100,00;-56,00;3,31;-59,31;-0,59;oui;Confiant;Aucune;31;Setup validé, exécution conforme au plan.;
Tmu268dppwbxn4;2026-09-07;08:45;US30;Short;Europe;Market Shift (ChoCh);38648,80000;38662,80000;38628,00000;38658,60000;0,71;100,00;-70,00;2,22;-72,22;-0,72;non;Peur;Aucune;28;Exécution approximative — à revoir en revue de semaine.;
Tmu268dpq1m8ph;2026-09-09;02:25;GBPUSD;Long;Asie;Market Shift (ChoCh);1,26526;1,26416;1,27382;1,26390;0,91;100,00;-123,00;5,73;-128,73;-1,29;oui;Calme;Sortie trop tôt;158;Setup validé, exécution conforme au plan.;
Tmu268dpqvd6il;2026-09-11;02:30;USDJPY;Long;Asie;Complexe Pull Back;146,32944;146,19496;147,36357;146,48140;0,74;100,00;113,00;6,31;106,69;1,07;oui;Calme;Aucune;27;Setup validé, exécution conforme au plan.;
Tmu268dpq6up46;2026-09-14;02:25;NAS100;Short;Asie;Complexe Pull Back;18700,00000;18712,30000;18597,20000;18673,50000;0,81;100,00;215,00;2,63;212,37;2,12;oui;Confiant;Aucune;158;Setup validé, exécution conforme au plan.;
Tmu268dpq9yn3r;2026-09-15;14:55;US30;Long;USA;Market Shift (ChoCh);38807,60000;38799,10000;38833,30000;38814,10000;1,18;100,00;76,00;6,77;69,23;0,69;partiel;Peur;Aucune;112;Exécution approximative — à revoir en revue de semaine.;
